Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-7217.009	-7627.127	410.118	1.219713	1.59778	6.108848
6	-7222.501	-7631.747	409.2456	1.159278	1.847622	6.525785
12	-7209.699	-7619.639	409.939	1.192277	1.690806	6.186547
18	-7222.887	-7632.587	409.7002	1.22176	2.027062	6.186547
24	-7215.854	-7626.313	410.4588	1.273601	1.826149	5.810768
30	-7208.826	-7620.307	411.4815	1.276418	1.60172	5.329053
36	-7210.368	-7621.69	411.3216	1.239714	1.640435	5.422697
42	-7214.557	-7626.159	411.6014	1.306419	1.551717	5.265827
48	-7218.785	-7631.151	412.3659	1.311855	1.551717	4.838557
54	-7220.869	-7632.641	411.7721	1.285991	1.662978	5.139868
60	-7223.779	-7632.762	408.9827	1.149882	1.390201	6.84482
66	-7224.523	-7635.626	411.1022	1.165097	1.33543	5.708326
72	-7228.15	-7638.694	410.544	1.295152	1.629082	5.823323
78	-7222.916	-7635.292	412.3761	1.340418	1.715573	4.754018
84	-7221.725	-7632.306	410.5802	1.21102	1.405709	5.938445
90	-7219	-7629.07	410.0701	1.21102	1.512687	6.172701
96	-7227.935	-7639.179	411.2443	1.344027	1.984574	5.287258
102	-7223.418	-7634.072	410.6543	1.241536	1.842302	5.715728
108	-7213.871	-7626.188	412.3179	1.358	1.730453	4.77124
114	-7218.043	-7629.072	411.0296	1.279261	1.579507	5.584834
120	-7213.57	-7625.485	411.9149	1.334654	1.363631	5.154993
126	-7202.952	-7614.448	411.4959	1.351206	1.547774	5.300918
132	-7190.239	-7601.318	411.0794	1.276648	1.523594	5.580886
138	-7190.719	-7601.777	411.0573	1.22881	1.684764	5.557567
144	-7205.431	-7614.644	409.213	1.191989	1.319713	6.727997
150	-7205.409	-7616.594	411.1852	1.211123	1.700251	5.491301
156	-7207.991	-7617.324	409.3323	1.178129	1.714923	6.51484
162	-7219.399	-7629.639	410.2394	1.238409	1.812402	5.954619
168	-7210.729	-7621.737	411.0079	1.250629	1.350999	5.706321
174	-7212.488	-7623.403	410.9158	1.137661	1.350999	5.818551
180	-7204.973	-7615.794	410.8208	1.229439	1.355161	5.818551
186	-7207.074	-7616.695	409.6216	1.210748	1.650667	6.363687
192	-7217.269	-7627.25	409.981	1.160787	1.355018	6.313659
198	-7223.767	-7632.925	409.158	1.160787	1.129299	6.862792
204	-7222.519	-7632.05	409.5316	1.146152	1.582443	6.473187
210	-7229.141	-7641.628	412.4866	1.291362	1.614244	4.758033
216	-7221.256	-7633.45	412.1935	1.357662	1.556318	4.907247
222	-7213.464	-7626.368	412.9045	1.523554	1.768683	4.334728
228	-7216.977	-7629.685	412.7082	1.50841	2.120604	4.334728
234	-7207.645	-7618.995	411.3494	1.428606	1.723878	5.272279
240	-7222.35	-7633.993	411.6433	1.239037	1.723878	5.214613
246	-7219.76	-7631.621	411.8605	1.239037	1.417855	5.214613
252	-7214.705	-7625.72	411.0148	1.246839	1.426878	5.672171
